	1B	1N	2B	2N	3B	3N	4B	4N	5B	5N	6B	6N	7B	7N	8B	8N	
isogroup50538_g1	24	49	6	5	5	5	3	0	5	14	3	14	44	44	93	37	
isogroup50539_g1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	
isogroup50547_g1	34	81	4	0	3	2	1	1	26	18	2	10	234	54	491	59	
isogroup50549_g1	12	11	3	0	1	5	1	0	5	3	1	3	16	7	37	7	
isogroup50553_g1	9	16	5	1	5	4	1	1	1	2	1	8	40	10	68	12	
isogroup50555_g1	15	22	5	4	0	7	1	0	3	6	0	5	17	8	57	9	
isogroup50556_g1	25	44	19	8	11	21	7	0	23	23	7	23	75	30	185	18	
isogroup50556_g2	18	24	9	7	3	11	2	0	4	15	4	8	42	19	136	22	
isogroup50557_g1	1	2	0	1	0	1	0	0	0	0	0	0	1	2	3	4	
isogroup50557_g2	14	22	3	1	4	6	0	0	7	3	0	5	25	15	74	9	
isogroup50558_g1	25	58	10	7	6	11	1	0	7	16	5	15	26	51	145	64	
isogroup50559_g1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	6	0	
isogroup50559_g2	8	19	4	1	2	6	0	1	10	8	4	19	42	18	120	11	
isogroup50560_g1	15	17	7	1	5	11	2	0	5	7	4	39	27	15	38	8	
isogroup50561_g1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	
isogroup50562_g1	3	10	1	1	2	7	0	0	6	16	1	16	34	13	82	16	
isogroup50563_g1	7	11	3	3	2	3	1	0	2	5	1	12	29	9	49	10	
isogroup50568_g2	1	2	1	0	0	0	0	0	0	0	0	0	1	1	1	0	
isogroup50568_g3	53	52	24	9	8	19	4	0	9	18	2	43	105	38	171	23	
isogroup50569_g2	33	37	19	13	1	1	1	0	2	14	2	14	48	36	107	25	
isogroup50572_g1	224	301	135	52	56	124	23	1	80	134	19	193	375	200	789	218	
isogroup50574_g1	0	4	7	6	1	8	1	0	7	1	3	8	5	6	14	5	
isogroup50575_g1	5	5	2	1	0	7	1	0	2	1	1	8	6	5	48	3	
isogroup50577_g1	19	30	10	4	7	7	1	0	9	9	1	11	61	18	132	20	
isogroup50580_g1	16	21	14	10	5	12	3	0	6	14	2	30	17	15	73	20	
isogroup50582_g1	0	4	2	4	0	5	1	0	0	2	0	9	0	11	2	10	
isogroup50583_g1	194	341	55	82	21	41	18	0	59	63	27	205	346	255	917	197	
isogroup50585_g1	6	2	2	0	1	10	0	0	3	3	3	10	9	4	23	4	
isogroup50587_g1	2	4	0	0	0	4	1	0	0	3	1	10	10	8	29	2	
isogroup50589_g1	6	7	3	1	0	3	0	0	7	4	3	4	14	0	18	3	
isogroup5058_g1	1	1	0	0	0	2	0	0	0	0	0	0	1	1	5	0	
isogroup50590_g1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	
isogroup50592_g1	23	41	3	2	1	5	1	0	1	7	1	3	25	36	89	21	
isogroup50593_g2	5	4	1	0	1	1	0	1	0	2	0	1	18	8	15	4	
isogroup50594_g1	217	239	89	61	33	73	11	0	40	78	18	138	310	180	715	177	
isogroup50598_g1	6	8	5	2	2	5	0	0	1	4	0	5	15	8	63	10	
isogroup50599_g1	0	1	0	0	0	0	0	0	1	0	0	1	1	1	6	0	
isogroup5059_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup50600_g1	1762	2585	297	124	228	360	79	2	245	375	70	395	3286	1943	7755	2282	
isogroup50601_g1	8	9	0	2	0	5	0	0	2	3	0	6	6	5	26	4	
isogroup50602_g1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
isogroup50603_g1	13	10	1	0	1	1	0	0	1	1	0	2	8	14	33	13	
isogroup50605_g1	20	20	1	6	3	22	2	0	5	10	1	25	35	12	130	21	
isogroup50606_g1	7	19	4	2	0	8	1	0	2	7	2	18	19	16	63	11	
isogroup50607_g1	7	6	2	0	0	2	0	0	1	0	2	1	27	14	10	1	
isogroup50609_g1	1	4	0	0	0	0	0	0	0	0	0	0	2	0	7	2	
isogroup50612_g1	4	6	6	1	2	3	3	0	8	4	3	14	14	3	32	6	
isogroup50613_g1	9	5	1	0	0	1	0	0	0	4	0	7	13	4	11	5	
isogroup50614_g1	70	65	37	21	17	59	7	0	48	49	15	62	138	56	337	89	
isogroup50616_g1	12	17	6	8	7	21	2	0	3	7	15	37	21	14	106	21	
isogroup50617_g1	1	2	0	0	0	0	0	0	2	1	0	0	4	2	4	0	
isogroup50620_g1	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	
isogroup50620_g2	1	0	1	1	0	0	0	0	0	0	0	0	1	0	6	3	
isogroup50621_g1	16	26	29	23	5	34	10	1	17	25	9	51	57	30	284	47	
isogroup50622_g1	31	42	33	13	14	28	4	0	21	46	10	42	47	37	181	41	
isogroup50623_g2	16	24	5	3	2	8	1	0	5	28	1	8	8	5	68	11	
isogroup50625_g1	3	10	2	1	2	4	1	0	3	5	6	10	13	5	36	5	
isogroup50626_g1	10	9	2	0	2	3	2	0	7	1	2	7	23	9	36	11	
isogroup50629_g1	12	13	0	0	0	0	0	0	0	0	1	4	6	0	1	0	
isogroup50630_g2	6	2	1	1	0	2	0	0	0	0	0	2	7	0	8	2	
isogroup50631_g2	45	72	25	18	18	25	3	0	36	20	12	64	120	48	284	55	
isogroup50633_g1	22	41	9	2	3	10	0	0	18	7	9	16	40	22	98	23	
isogroup50634_g1	0	3	2	0	0	1	0	0	1	5	0	1	9	8	14	11	
isogroup50634_g2	6	2	3	1	1	7	1	0	1	4	3	3	4	7	31	2	
isogroup50636_g1	0	2	1	3	1	3	0	0	2	1	0	4	0	1	5	0	
isogroup50637_g1	90	125	21	12	5	33	2	0	12	9	4	86	192	161	79	43	
isogroup50638_g1	17	16	10	3	3	13	0	0	4	13	3	11	16	4	90	24	
isogroup50640_g1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4	1	
isogroup50640_g2	1	3	0	0	0	0	1	0	0	0	0	0	0	0	6	3	
isogroup50640_g3	21	35	6	3	2	5	2	0	7	8	4	19	67	49	197	28	
isogroup50640_g4	7	10	2	2	3	8	0	0	3	2	1	2	35	9	116	18	
isogroup50640_g5	1	0	1	0	0	0	0	0	0	1	1	2	2	3	1	2	
isogroup50643_g1	7	5	5	1	2	7	1	0	2	6	4	4	18	9	51	4	
isogroup50645_g1	4	7	2	6	0	14	1	0	2	5	1	6	32	12	59	15	
isogroup50646_g1	8	18	2	9	5	24	2	0	7	19	2	7	23	11	49	14	
isogroup50649_g1	9	37	26	9	9	13	0	0	1	21	4	14	23	22	287	66	
isogroup50653_g1	1	3	1	4	0	1	0	0	3	2	0	0	6	4	12	4	
isogroup50654_g1	39	51	12	8	5	22	2	0	12	13	3	23	73	30	238	63	
isogroup50655_g1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	5	4	
isogroup50655_g2	8	3	3	2	1	5	3	1	7	7	1	3	12	5	31	3	
isogroup50655_g3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	
isogroup50656_g2	14	12	2	2	1	6	1	0	2	2	1	10	13	14	64	18	
isogroup50658_g1	90	152	36	23	12	36	4	0	28	31	12	64	162	104	416	86	
isogroup50663_g1	3	2	2	1	0	3	0	0	0	0	1	3	6	9	29	5	
isogroup50664_g1	1	0	1	0	1	1	0	0	6	6	0	2	7	0	6	0	
isogroup50664_g2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	
isogroup50666_g1	5	10	3	12	5	4	2	0	6	20	2	17	12	6	25	11	
isogroup50667_g1	3	1	0	0	1	1	0	0	0	0	0	0	2	0	3	3	
isogroup50668_g1	69	101	25	18	12	27	1	0	8	40	6	46	110	88	309	66	
isogroup50670_g1	1	6	2	4	0	1	0	0	0	4	2	10	4	0	102	22	
isogroup50672_g1	893	1401	711	571	352	1041	117	1	495	740	224	982	2262	1128	5259	1346	
isogroup50674_g1	49	43	8	5	3	10	2	0	6	10	1	10	62	25	120	21	
isogroup50676_g1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup50676_g2	1	2	1	0	1	2	0	0	2	4	0	2	6	7	4	0	
isogroup50678_g1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	
isogroup50682_g1	19	37	8	8	4	28	4	1	11	17	7	18	45	13	101	20	
isogroup50683_g1	1	6	2	2	2	4	0	0	1	2	0	7	3	4	18	2	
isogroup50684_g1	11	12	6	4	4	5	0	0	4	3	1	9	20	5	37	7	
isogroup50685_g1	16	18	14	1	3	8	4	0	3	11	0	5	3	4	80	18	
isogroup50685_g2	8	9	2	0	2	1	5	0	2	7	1	3	8	1	30	8	
isogroup50685_g4	1	2	1	0	1	4	2	0	1	3	0	1	1	1	8	1	
isogroup50686_g1	1	4	2	1	1	2	0	0	1	2	0	0	3	0	7	1	
isogroup50688_g1	13	18	6	0	4	2	3	0	8	7	2	8	35	16	116	30	
isogroup50689_g1	76	89	25	20	13	33	4	0	5	30	2	37	110	70	370	76	
isogroup50691_g1	10	17	1	2	1	4	0	0	1	4	0	4	9	9	38	8	
isogroup50692_g1	50	67	22	18	10	33	6	0	12	24	7	40	60	32	274	63	
isogroup50694_g1	7	4	6	4	1	8	0	0	3	4	1	4	12	7	42	9	
isogroup50695_g1	8	21	7	6	2	9	5	1	8	4	5	7	20	13	125	17	
isogroup50696_g1	7	9	3	0	0	2	0	0	0	2	2	7	4	1	23	4	
isogroup50699_g1	37	54	3	16	20	55	6	0	18	20	9	22	90	33	311	74	
isogroup5069_g1	7	7	1	1	0	0	0	0	0	2	1	3	26	12	6	2	
isogroup50700_g2	0	0	0	1	2	2	0	0	5	10	1	0	4	4	28	1	
isogroup50701_g1	19	29	2	2	1	3	3	1	2	2	3	12	44	24	73	20	
isogroup50701_g2	8	12	2	1	1	2	0	0	0	1	0	4	12	8	42	17	
isogroup50704_g1	59	124	25	10	13	35	8	0	23	25	7	32	154	93	662	143	
isogroup50706_g1	0	1	1	5	2	0	0	0	3	3	1	1	7	3	20	7	
isogroup50707_g1	4	7	4	2	0	3	1	0	0	3	1	3	4	2	27	7	
isogroup50708_g1	10	14	5	2	1	6	4	0	2	6	1	5	11	5	48	5	
isogroup5070_g1	0	0	1	1	0	1	0	0	0	1	0	0	1	0	2	1	
isogroup50711_g1	4	3	2	4	1	0	0	0	1	2	1	4	3	1	14	4	
isogroup50713_g2	1	0	13	4	5	15	1	0	13	9	3	18	166	102	55	5	
isogroup50714_g1	24	55	13	7	10	12	1	0	11	19	6	19	15	16	143	40	
isogroup50716_g1	1	2	3	0	0	0	0	0	0	1	2	3	2	2	6	2	
isogroup50719_g1	12	14	7	3	0	5	1	0	2	3	0	8	13	8	60	9	
isogroup50720_g1	39	100	33	26	6	40	9	0	17	33	7	70	146	92	187	51	
isogroup50723_g1	69	133	35	21	18	38	5	0	20	24	7	59	167	150	380	93	
isogroup50725_g1	24	38	8	2	4	6	1	0	4	9	1	16	33	18	103	37	
isogroup50726_g1	0	1	2	1	2	3	0	0	0	2	0	0	4	1	5	0	
isogroup50726_g2	7	4	1	1	0	2	1	0	4	9	1	5	8	6	18	3	
isogroup50731_g1	9	12	2	0	0	6	3	0	4	3	1	3	15	8	45	10	
isogroup50734_g1	13	22	6	5	3	8	0	0	5	5	1	3	42	8	100	24	
isogroup50735_g1	40	44	19	7	3	13	2	0	5	19	3	17	49	37	104	26	
isogroup50736_g1	27	20	2	3	3	4	1	0	3	18	2	20	90	46	106	9	
isogroup50738_g1	7	4	4	0	0	2	0	0	1	6	0	6	14	4	33	4	
isogroup50740_g2	10	19	9	2	6	13	2	0	10	20	5	21	26	28	103	21	
isogroup50741_g1	17	19	6	7	5	7	3	0	15	17	3	29	35	13	77	14	
isogroup50747_g1	131	213	93	85	27	78	32	0	55	71	25	114	403	172	755	153	
isogroup50748_g1	18	34	6	6	2	4	3	0	2	4	2	6	43	17	120	29	
isogroup50749_g1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	10	5	
isogroup50750_g1	8	4	2	1	0	0	2	0	1	0	1	2	7	2	20	0	
isogroup50751_g1	8	11	1	4	3	2	4	0	4	2	3	13	32	14	156	12	
isogroup50753_g1	27	36	17	4	3	10	4	1	8	13	7	15	62	40	133	25	
isogroup50755_g1	2	9	2	0	0	2	0	0	4	2	2	6	5	1	26	4	
isogroup50757_g1	1	2	0	0	0	0	0	0	1	2	0	1	4	1	15	2	
isogroup50758_g1	2602	3556	967	636	781	1783	520	3	1150	1335	657	2256	3636	1695	8000	2221	
isogroup50761_g1	6	6	3	1	2	1	0	0	13	9	2	3	18	3	43	6	
isogroup50762_g1	15	24	5	4	2	15	1	0	0	7	2	7	36	18	49	15	
isogroup50763_g1	6	9	1	1	0	5	0	0	1	5	1	9	15	7	34	5	
isogroup50764_g1	16	29	12	11	1	1	3	1	7	6	4	4	16	11	125	17	
isogroup50765_g1	2	2	1	0	0	0	0	0	2	1	0	0	3	1	1	0	
isogroup50766_g1	18	33	5	4	7	12	6	0	13	11	8	10	33	21	102	25	
isogroup50767_g1	39	36	23	8	12	18	1	0	9	13	6	28	72	45	168	35	
isogroup50768_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	2	
isogroup5076_g1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	4	2	
isogroup50770_g1	2	0	0	0	0	0	0	0	2	1	0	0	8	2	3	1	
isogroup50772_g1	5	10	12	9	0	6	0	1	5	4	0	6	23	7	36	12	
isogroup50773_g1	16	20	15	9	12	18	5	0	29	21	5	26	55	30	141	29	
isogroup50773_g2	442	534	152	89	78	189	22	0	104	222	46	388	741	389	1654	550	
isogroup50776_g1	19	27	12	19	2	17	0	0	7	7	6	15	77	45	318	83	
isogroup50777_g1	26	21	3	3	3	7	1	0	9	1	3	11	34	10	89	18	
isogroup50778_g2	25	25	6	6	0	11	1	0	5	8	0	15	15	8	68	23	
isogroup50779_g1	130	169	33	19	9	31	7	0	25	45	10	49	193	85	421	103	
isogroup50780_g1	0	0	0	1	0	2	0	0	1	1	0	1	0	1	4	2	
isogroup50781_g1	17	29	11	11	4	16	2	0	6	16	1	17	62	23	399	64	
isogroup50782_g1	12	12	2	5	2	11	1	0	7	13	1	12	30	8	80	17	
isogroup50783_g1	27	33	13	5	5	8	1	0	12	13	4	12	70	23	197	43	
isogroup50784_g1	12	18	7	4	0	7	2	0	0	8	1	5	21	13	81	22	
isogroup50785_g1	0	0	0	0	1	0	1	0	1	0	0	0	2	1	9	1	
isogroup50787_g1	3	8	3	2	4	4	0	0	3	1	3	5	7	1	36	4	
isogroup50793_g1	9	3	0	2	2	8	1	0	2	2	2	6	10	2	30	3	
isogroup50795_g1	540	924	257	173	119	222	36	0	119	194	65	484	670	458	1590	571	
isogroup50801_g1	13	17	5	3	0	4	0	0	7	9	2	5	16	9	153	12	
isogroup50802_g1	29	44	16	11	5	11	2	0	3	18	7	12	54	28	90	15	
isogroup50803_g1	88	90	24	36	16	58	2	0	36	83	8	73	224	179	838	121	
isogroup50811_g1	26	27	4	3	1	11	1	1	13	12	0	11	61	31	113	24	
isogroup50814_g1	11	19	7	5	1	1	2	0	1	3	0	3	19	9	45	8	
isogroup50815_g1	16	40	9	5	8	31	1	0	2	10	2	9	56	27	146	24	
isogroup50816_g1	6	6	2	0	0	1	0	0	2	2	0	0	5	8	20	7	
isogroup50817_g1	3	2	8	1	1	0	1	0	0	6	0	1	9	6	13	8	
isogroup50818_g1	10	21	5	2	1	5	0	1	4	15	3	11	33	19	57	17	
isogroup50819_g1	7	9	5	5	1	3	3	0	7	6	5	19	32	11	28	10	
isogroup50821_g1	4	7	3	2	2	1	0	1	1	7	1	6	12	7	17	3	
isogroup50823_g1	11	20	8	8	7	18	6	0	10	15	8	8	35	14	77	18	
isogroup50825_g1	22	35	13	7	3	13	3	0	1	5	2	16	32	5	99	19	
isogroup50825_g2	1	1	2	1	0	0	0	0	0	0	1	0	1	1	9	1	
isogroup50825_g3	3	2	0	1	1	1	0	0	0	0	0	3	8	2	18	3	
isogroup50826_g1	31	38	14	22	9	31	3	0	13	21	9	48	89	76	184	22	
isogroup50827_g1	46	62	21	31	11	54	2	0	12	29	6	54	100	52	248	83	
isogroup50828_g1	14	20	4	4	0	4	0	0	4	4	2	12	15	9	23	4	
isogroup50829_g1	2	2	1	2	0	1	1	0	1	0	0	3	8	0	26	3	
isogroup50830_g1	3	4	1	3	1	0	0	0	2	2	2	3	11	5	30	3	
isogroup50832_g1	51	61	14	12	11	12	5	0	14	32	8	28	66	27	192	40	
isogroup50835_g1	84	103	30	34	9	25	9	0	37	34	7	44	134	74	460	80	
isogroup50836_g1	21	54	10	4	4	14	0	0	5	14	0	14	45	47	80	31	
isogroup50837_g1	24	36	14	9	6	15	3	0	6	15	3	15	59	25	228	45	
isogroup50841_g2	23	48	7	6	4	9	3	1	8	8	4	14	41	20	97	22	
isogroup50842_g1	2	1	2	0	1	1	0	0	0	2	1	3	3	3	9	2	
isogroup50842_g2	0	2	5	3	0	1	0	0	3	0	0	5	6	1	13	2	
isogroup50844_g1	3	2	4	6	2	5	0	0	3	2	2	4	17	7	49	9	
isogroup50846_g1	1	2	1	1	1	4	1	0	0	3	1	2	4	4	16	4	
isogroup50847_g1	60	95	78	47	25	52	32	0	84	53	56	145	379	86	609	112	
isogroup50850_g2	1	2	0	0	0	1	0	0	0	0	0	0	0	0	3	0	
isogroup50852_g2	50	83	23	26	18	44	13	0	22	32	14	61	103	35	282	60	
isogroup50855_g1	3	2	0	0	0	0	0	1	0	0	0	0	4	5	5	2	
isogroup50857_g1	5	5	3	1	0	6	0	0	1	3	0	10	11	9	20	0	
isogroup50857_g2	0	3	0	0	0	3	0	0	0	3	0	0	5	4	5	0	
isogroup50860_g1	15	24	7	4	3	10	2	0	8	8	0	14	50	27	109	26	
isogroup50862_g1	9	13	8	4	1	8	2	0	8	9	5	11	21	15	103	16	
isogroup50863_g1	42	62	18	15	11	15	9	0	19	40	6	26	75	52	269	72	
isogroup50864_g1	16	33	17	8	9	22	1	0	8	9	6	18	42	17	178	25	
isogroup50865_g1	44	123	19	13	14	20	5	0	6	47	16	41	74	28	283	68	
isogroup50867_g1	6	14	15	4	7	24	1	1	7	16	1	4	7	2	41	16	
isogroup50868_g1	0	0	7	2	1	11	2	0	6	13	0	8	0	0	0	0	
isogroup50869_g1	5	5	3	3	2	6	3	0	8	7	0	15	14	4	36	10	
isogroup50873_g1	23	33	13	11	7	28	3	0	8	20	2	18	54	27	190	37	
isogroup50876_g1	27	42	8	3	10	13	1	0	6	6	0	12	34	16	143	29	
isogroup50877_g1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	3	0	
isogroup50878_g1	34	32	17	11	10	36	1	0	22	27	2	33	20	9	206	29	
isogroup50879_g3	307	374	90	106	48	122	17	0	115	112	25	172	661	412	1566	300	
isogroup50880_g1	120	209	200	101	66	198	19	2	70	109	39	127	171	129	1100	234	
isogroup50881_g1	454	619	79	87	58	389	22	0	78	244	25	278	526	416	1413	409	
isogroup50885_g1	10	15	9	6	4	34	1	0	8	8	4	16	33	21	144	22	
isogroup50886_g1	9	8	3	3	4	5	2	0	3	5	0	7	10	5	122	33	
isogroup50887_g1	5	16	12	16	4	12	0	0	5	12	2	30	14	15	26	6	
isogroup50889_g1	16	25	3	2	2	5	1	0	2	4	1	2	7	14	82	10	
isogroup50890_g1	44	40	5	4	9	20	5	0	15	53	3	13	68	19	150	26	
isogroup50892_g1	36	51	22	12	8	21	5	0	16	27	4	48	101	39	222	49	
isogroup50893_g2	41	49	12	13	16	34	1	0	4	17	3	13	65	17	50	16	
isogroup50895_g1	100	214	79	40	26	60	18	0	28	60	37	124	137	40	345	90	
isogroup50896_g1	8	6	22	6	7	10	2	0	6	13	2	12	10	9	70	13	
isogroup50898_g1	20	31	7	3	7	8	1	0	2	12	1	17	36	18	93	21	
isogroup50900_g3	33	42	24	11	4	18	2	0	23	28	3	37	61	28	172	40	
isogroup50901_g1	1	1	0	1	0	0	2	0	0	1	2	0	2	3	5	1	
isogroup50901_g2	180	242	90	74	44	91	13	1	71	100	27	222	524	294	1171	247	
isogroup50902_g1	29	33	20	14	6	25	1	0	16	20	6	44	77	33	186	28	
isogroup50905_g2	0	3	0	1	0	0	0	0	0	0	0	1	4	3	2	0	
isogroup50908_g1	14	189	41	24	2	33	1	0	6	48	4	91	20	123	53	132	
isogroup50909_g1	3	4	0	3	1	2	0	0	4	0	1	3	10	2	24	8	
isogroup50913_g1	6	9	3	1	3	1	2	0	2	3	0	4	17	12	41	3	
isogroup50914_g1	51	65	43	33	7	48	12	0	25	24	16	54	136	77	520	103	
isogroup50915_g1	69	96	30	16	9	29	3	0	12	52	11	55	126	76	334	62	
isogroup50918_g1	256	264	104	107	78	191	40	0	165	119	51	184	566	216	1529	250	
isogroup50925_g1	43	53	9	6	4	13	4	0	15	14	9	32	69	15	174	29	
isogroup50926_g1	28	40	2	5	2	11	1	0	5	12	1	14	66	26	127	31	
isogroup50927_g1	3	7	8	8	2	5	4	0	1	2	3	17	6	1	30	9	
isogroup50928_g1	6	12	6	7	2	2	2	0	5	5	0	25	22	9	61	15	
isogroup50929_g1	29	47	11	8	4	10	3	0	5	5	2	15	34	26	123	21	
isogroup50929_g2	63	51	10	19	6	44	3	0	17	71	10	34	82	36	189	35	
isogroup50931_g1	10	6	3	0	0	4	0	0	4	4	1	7	6	8	37	8	
isogroup50932_g2	23	29	26	14	10	26	3	0	16	28	8	35	99	47	195	45	
isogroup50933_g1	57	108	23	27	17	38	2	0	26	33	4	67	101	74	273	84	
isogroup50937_g1	27	34	16	11	4	8	3	1	16	15	0	7	62	19	122	24	
isogroup5093_g1	22	25	9	6	1	10	2	0	3	9	2	7	42	27	59	18	
isogroup50940_g1	1	7	0	1	2	5	0	0	0	1	0	1	6	1	35	7	
isogroup50941_g2	6	4	1	2	2	4	0	0	4	0	1	1	5	0	17	2	
isogroup50943_g1	38	52	19	7	6	19	5	0	14	16	9	27	71	57	170	27	
isogroup50944_g1	0	2	1	4	0	1	0	0	1	2	1	1	6	1	19	2	
isogroup50944_g2	0	3	0	0	0	1	0	0	0	0	2	1	0	0	2	1	
isogroup50945_g1	54	47	33	24	17	48	7	0	38	44	7	66	132	44	329	61	
isogroup50946_g1	0	0	0	1	0	6	0	0	3	0	0	1	0	2	0	2	
isogroup50948_g2	92	119	100	76	54	147	18	0	145	113	51	154	332	98	673	123	
isogroup50950_g1	3	1	3	0	2	5	2	0	3	8	3	10	3	4	19	5	
isogroup50952_g1	48	73	21	8	14	33	1	0	11	20	7	31	47	28	220	37	
isogroup50953_g1	40	57	37	14	10	27	5	0	8	22	7	40	89	42	131	40	
isogroup50955_g1	2	1	1	0	0	0	0	0	0	0	0	2	0	2	11	0	
isogroup50957_g1	7	16	10	6	6	4	2	0	8	13	4	21	45	11	91	33	
isogroup50957_g2	1	7	0	0	0	1	0	0	2	1	1	2	1	6	14	1	
isogroup50960_g1	4	2	0	0	1	0	0	0	3	1	1	3	8	8	19	7	
isogroup50961_g1	34	69	20	14	7	25	7	0	31	28	13	84	119	56	471	99	
isogroup50962_g1	1	4	2	1	0	2	0	0	1	1	0	2	5	1	20	5	
isogroup50962_g2	0	1	0	1	0	2	0	0	0	0	1	0	5	0	13	2	
isogroup50964_g1	2	5	2	0	0	0	0	0	0	4	0	4	3	0	8	4	
isogroup50965_g1	10	5	3	1	2	0	2	0	5	0	0	8	14	7	27	13	
isogroup50969_g1	5	12	11	14	5	15	1	0	4	4	4	8	26	14	123	18	
isogroup50972_g1	64	121	12	21	6	49	2	0	9	8	4	15	95	45	156	30	
isogroup50974_g1	5	3	0	0	2	0	2	0	1	2	0	3	6	6	16	3	
isogroup50975_g2	4	6	4	1	2	3	2	0	1	3	1	2	22	3	29	10	
isogroup50977_g1	27	28	9	9	7	9	1	0	4	10	3	16	44	20	86	18	
isogroup50980_g2	15	32	11	14	2	10	0	0	13	13	2	20	37	27	199	45	
isogroup50982_g1	876	1262	557	326	264	621	97	1	365	575	193	915	1355	690	2166	622	
isogroup50988_g1	1807	2581	351	160	283	654	96	0	302	487	160	563	3061	1498	6780	1774	
isogroup50989_g1	16	24	4	5	2	9	0	0	1	9	2	2	33	21	39	8	
isogroup50990_g1	2	0	2	0	3	1	0	0	1	0	0	4	3	3	17	3	
isogroup50992_g1	1	5	4	7	5	10	0	0	1	7	0	11	6	4	21	3	
isogroup50996_g1	16	19	4	7	1	20	1	0	10	14	5	14	18	12	77	29	
isogroup50997_g1	42	51	9	21	10	37	11	0	33	44	13	31	64	28	241	55	
isogroup50999_g1	84	133	49	21	9	28	2	0	9	42	2	48	112	52	209	48	
isogroup5099_g1	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	
isogroup51010_g1	2	4	3	0	1	2	0	0	0	0	0	5	5	3	11	4	
isogroup51011_g1	3	4	0	1	0	1	0	0	2	4	2	2	3	1	30	5	
isogroup51013_g1	47	54	13	12	12	16	1	0	18	24	8	32	84	39	297	82	
isogroup51015_g1	1	3	6	5	2	1	0	1	1	2	2	0	3	2	23	4	
isogroup51016_g1	26	24	4	1	4	6	1	0	7	7	4	18	16	9	75	17	
isogroup51017_g1	46	62	11	9	6	15	3	0	7	21	4	19	91	28	223	37	
isogroup51018_g1	47	69	28	12	11	25	3	0	35	40	13	45	90	41	455	63	
isogroup51021_g1	10	2	1	0	4	4	3	0	2	7	2	8	8	4	34	3	
isogroup51023_g1	6	6	0	1	0	2	0	0	3	4	1	4	14	5	25	8	
isogroup51024_g1	6	13	1	5	1	2	1	0	3	4	0	3	13	2	11	3	
isogroup51025_g1	13	48	16	9	6	25	3	0	13	21	8	22	33	25	201	51	
isogroup51028_g1	22	12	15	14	7	13	5	0	19	35	8	21	45	10	120	25	
isogroup5102_g2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
isogroup51031_g1	19	16	9	4	1	7	1	0	0	4	1	11	18	9	43	13	
isogroup51033_g1	31	23	20	2	2	3	2	0	2	15	3	17	37	23	102	19	
isogroup51034_g1	35	31	10	10	1	21	3	0	13	23	2	22	43	13	109	27	
isogroup51035_g1	824	1119	390	323	159	433	76	1	250	365	114	734	1529	929	2869	964	
isogroup51036_g1	6	12	19	11	7	14	6	0	17	21	4	28	18	30	45	17	
isogroup51037_g1	42	54	38	12	4	27	7	0	4	25	2	31	26	10	82	31	
isogroup51039_g1	12	21	7	7	7	15	0	0	9	6	4	18	29	15	100	21	
isogroup51039_g2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	
isogroup51040_g1	13	34	22	6	9	27	2	0	15	22	11	31	100	61	110	37	
isogroup51041_g1	2	1	3	3	1	0	0	0	0	1	0	2	6	4	58	20	
isogroup51045_g1	56	57	2	0	2	5	1	0	1	7	5	5	17	5	103	26	
isogroup51046_g1	96	228	55	28	18	63	3	0	18	56	7	68	73	45	238	56	
isogroup51047_g1	7	11	1	1	1	2	2	0	0	3	2	4	9	10	86	15	
isogroup51051_g1	13	27	13	5	0	7	1	0	4	4	1	24	32	13	142	22	
isogroup51053_g1	0	0	1	0	0	0	1	0	0	1	1	4	2	0	11	3	
isogroup51054_g1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	
isogroup51055_g1	7	6	2	1	1	2	0	0	1	3	1	3	14	3	25	2	
isogroup51056_g2	95	149	27	28	16	55	6	0	20	43	9	86	152	75	630	157	
isogroup51060_g1	74	110	31	10	7	25	2	0	9	23	6	43	121	88	240	77	
isogroup51063_g1	1	7	1	0	0	0	1	0	1	2	1	1	3	0	12	6	
isogroup51067_g1	1	6	6	2	1	7	1	0	5	3	0	5	4	2	22	4	
isogroup51074_g1	299	436	113	60	68	161	24	0	177	197	27	257	916	653	813	266	
