	1B	1N	2B	2N	3B	3N	4B	4N	5B	5N	6B	6N	7B	7N	8B	8N	
isogroup102507_g1	1	1	0	0	0	0	0	0	2	0	0	1	1	1	1	0	
isogroup10251_g1	0	0	0	1	0	0	0	0	0	0	0	0	4	4	2	0	
isogroup102535_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	
isogroup102615_g1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	
isogroup102631_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup102660_g1	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	
isogroup102717_g1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	
isogroup10277_g1	0	0	1	0	0	2	0	0	1	0	0	0	2	1	13	2	
isogroup102804_g1	4	1	0	0	0	0	0	0	0	0	0	0	2	1	7	0	
isogroup10280_g1	0	1	2	1	0	1	0	0	0	0	0	0	8	4	7	1	
isogroup102830_g1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
isogroup102848_g1	8	8	0	0	0	0	1	0	0	3	0	4	3	4	32	3	
isogroup102857_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup10287_g1	21	18	1	1	0	2	0	0	3	5	0	9	29	9	57	5	
isogroup102984_g1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup10299_g1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	1	
isogroup103056_g1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup103060_g1	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	
isogroup103066_g1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup103105_g1	0	0	0	1	1	2	0	0	0	0	1	2	0	0	8	0	
isogroup103125_g1	1	1	2	1	1	3	1	0	0	1	1	2	2	1	5	1	
isogroup10312_g1	9	3	2	5	1	7	3	0	3	13	3	12	15	10	66	14	
isogroup103176_g1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
isogroup103182_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup103199_g1	1	1	0	0	0	1	0	0	0	1	0	3	2	0	1	3	
isogroup103235_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup103246_g1	23	33	6	8	2	9	0	0	5	11	3	34	23	46	53	24	
isogroup103269_g1	2	0	0	0	0	0	0	0	0	1	0	1	3	2	4	0	
isogroup103344_g1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	
isogroup103411_g1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	
isogroup10342_g1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	
isogroup103450_g1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
isogroup10345_g1	81	124	38	54	14	69	7	0	38	31	8	47	239	120	646	121	
isogroup103535_g1	0	0	0	0	0	0	0	0	1	0	0	0	4	0	16	3	
isogroup103550_g1	1	1	0	1	0	1	0	0	0	2	0	1	0	1	9	0	
isogroup10358_g1	0	0	0	0	0	1	1	0	0	3	0	1	1	0	0	2	
isogroup103631_g1	4	1	0	0	0	0	0	0	0	0	1	2	0	1	4	1	
isogroup103677_g1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	6	1	
isogroup10368_g1	42	67	18	17	6	42	4	0	20	28	5	42	120	66	267	75	
isogroup103695_g1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1	0	
isogroup10375_g1	18	36	10	5	2	15	1	0	4	10	1	11	43	19	147	25	
isogroup103809_g1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
isogroup103836_g1	4	0	2	0	0	0	0	0	2	2	0	0	3	3	10	2	
isogroup10387_g1	10	13	0	2	0	1	0	0	0	1	0	0	1	1	2	1	
isogroup1038_g1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	
isogroup103906_g1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	
isogroup10393_g2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
isogroup104025_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
isogroup104085_g1	1	3	1	0	0	2	1	0	4	0	0	4	8	0	15	1	
isogroup10420_g1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	
isogroup10422_g1	0	0	0	0	0	1	0	0	2	0	3	0	10	2	21	4	
isogroup10428_g1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	7	2	
isogroup10429_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup104325_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	
isogroup104367_g1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	
isogroup10438_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	
isogroup10439_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup104421_g1	4	2	2	1	1	0	0	0	0	1	0	5	6	3	8	1	
isogroup10455_g1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	
isogroup104727_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup104812_g1	8	6	1	0	0	13	0	0	3	5	1	4	35	4	14	3	
isogroup104855_g1	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	
isogroup104897_g1	1	1	1	0	1	0	0	0	1	1	2	2	2	0	6	0	
isogroup104920_g1	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	
isogroup10496_g1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	
isogroup104999_g1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	
isogroup105015_g1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	
isogroup105044_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	
isogroup105056_g1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	
isogroup10508_g1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup105129_g1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	11	1	
isogroup105203_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroup105256_g1	0	0	1	0	0	0	0	0	0	1	0	0	2	0	5	1	
isogroup105293_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
isogroup105384_g1	0	0	0	0	3	8	0	0	4	5	0	0	1	0	0	1	
isogroup105392_g1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	4	0	
isogroup105416_g1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	3	1	
isogroup105468_g1	1	6	0	0	1	0	0	0	1	2	0	2	2	2	10	2	
isogroup105484_g1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	
isogroup105560_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	
isogroup105599_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
isogroup10563_g1	4	4	4	4	5	5	1	0	2	4	2	9	15	1	38	9	
isogroup105696_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup105700_g1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	
isogroup105739_g1	11	23	0	0	0	2	0	0	0	0	1	2	3	1	30	11	
isogroup10576_g1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	
isogroup10589_g2	8	12	0	0	2	5	0	0	10	2	2	2	4	7	10	4	
isogroup10590_g1	0	3	0	0	0	0	2	0	0	5	1	13	0	0	2	0	
isogroup105915_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup10593_g1	11	28	0	1	2	3	0	0	13	21	5	10	14	6	101	20	
isogroup1059_g1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	
isogroup106077_g1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
isogroup10610_g1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	
isogroup10623_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup10624_g1	9	20	4	0	0	7	2	1	2	8	0	10	15	11	41	14	
isogroup106288_g1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
isogroup10628_g1	7	12	2	0	1	7	0	0	2	2	1	2	9	10	21	9	
